Data residual
---------
** L2-norm calulation
r = | d_k - d_shot |
---------
Data res m=0: 24.7851
Data L2res iter 1: 24.7851
Data L2res iter 2: 24.7539
Data L2res iter 3: 24.6184
Data L2res iter 4: 24.4428
Data L2res iter 5: 24.1944
Data L2res iter 6: 23.8046
Data L2res iter 7: 23.4488
Data L2res iter 8: 23.1957
Data L2res iter 9: 22.8776
Data L2res iter 10: 22.7853
Data L2res iter 11: 22.4024
Data L2res iter 12: 22.2734
Data L2res iter 13: 21.9969
Data L2res iter 14: 21.605
Data L2res iter 15: 21.4227
Data L2res iter 16: 21.2833
Data L2res iter 17: 20.9691
Data L2res iter 18: 20.833
Data L2res iter 19: 20.5958
Data L2res iter 20: 20.4408
Data L2res iter 21: 20.3176
Data L2res iter 22: 20.1018
Data L2res iter 23: 19.8348
Data L2res iter 24: 19.6912
Data L2res iter 25: 19.4621
Data L2res iter 26: 19.3677
Data L2res iter 27: 19.0395
Data L2res iter 28: 18.9743
Data L2res iter 29: 18.6867
Data L2res iter 30: 18.6444
Data L2res iter 31: 18.483
Data L2res iter 32: 18.2896
Data L2res iter 33: 18.1722
Data L2res iter 34: 18.0117
Data L2res iter 35: 17.9425
Data L2res iter 36: 17.881
Data L2res iter 37: 17.6581
Data L2res iter 38: 17.4234
Data L2res iter 39: 17.378
Data L2res iter 40: 17.313
Data L2res iter 41: 17.1283
Data L2res iter 42: 16.9954
Data L2res iter 43: 16.9441
Data L2res iter 44: 16.8846
Data L2res iter 45: 16.7962
Data L2res iter 46: 16.645
Data L2res iter 47: 16.5452
Data L2res iter 48: 16.5069
Data L2res iter 49: 16.4459
Data L2res iter 50: 16.3304
Data L2res iter 51: 16.2089
Data L2res iter 52: 16.1782
Data L2res iter 53: 16.1313
Data L2res iter 54: 16.0642
Data L2res iter 55: 15.9581
Data L2res iter 56: 15.8808
Data L2res iter 57: 15.8671
Data L2res iter 58: 15.7705
Data L2res iter 59: 15.6956
Data L2res iter 60: 15.6191
Data L2res iter 61: 15.5799
Data L2res iter 62: 15.5559
Data L2res iter 63: 15.4844
Data L2res iter 64: 15.4356
Data L2res iter 65: 15.361
Data L2res iter 66: 15.3448
Data L2res iter 67: 15.2535
Data L2res iter 68: 15.2151
Data L2res iter 69: 15.1626
Data L2res iter 70: 15.1264
Data L2res iter 71: 15.113
Data L2res iter 72: 15.0303
Data L2res iter 73: 14.9886
Data L2res iter 74: 14.9729
Data L2res iter 75: 14.9205
Data L2res iter 76: 14.892
Data L2res iter 77: 14.8353
Data L2res iter 78: 14.8251
Data L2res iter 79: 14.8021
Data L2res iter 80: 14.7537
Data L2res iter 81: 14.7009
Data L2res iter 82: 14.6761
Data L2res iter 83: 14.6586
Data L2res iter 84: 14.6181
Data L2res iter 85: 14.5821
Data L2res iter 86: 14.566
Data L2res iter 87: 14.5357
Data L2res iter 88: 14.5179
Data L2res iter 89: 14.4889
Data L2res iter 90: 14.4714
Data L2res iter 91: 14.4067
Data L2res iter 92: 14.402
Data L2res iter 93: 14.3562
Data L2res iter 94: 14.344
Data L2res iter 95: 14.3194
Data L2res iter 96: 14.2996
Data L2res iter 97: 14.2764
Data L2res iter 98: 14.2586
Data L2res iter 99: 14.2339
Data L2res iter 100: 14.2169
